NUMBER	NAME	ELEV	LAT	LON
322020	Jefferson	3199	44.674	-121.8
305040	Jingbo	1000	44.08	128.83
302060	Jom-Bolok	2047	52.713	99.021
322190	Jordan Craters	1473	43.147	-117.46
261220	Kaba	1940	-3.522	102.615
284097	Kaikata Seamount	-165	26.667	140.929
241010	Kaikohe-Bay of Islands	388	-35.3	173.9
284100	Kaitoku Seamount	-95	26.127	141.102
311110	Kanaga	1307	51.923	-177.168
272020	Kanlaon	2435	10.412	123.132
263020	Karang	1768	-6.268	106.05
213001	Karapinar Field	1302	37.667	33.6
223040	Karisimbi	4490	-1.506	29.45
251030	Karkar	1839	-4.649	145.964
233010	Karthala	2361	-11.75	43.38
300130	Karymsky	1513	54.049	159.443
372030	Katla	1490	63.633	-19.083
312170	Katmai	2047	58.28	-154.963
223003	Katwe-Kikorongo	1067	-0.08	29.92
214020	Kazbek	5050	42.7	44.5
300500	Kebeney	1527	57.1	159.93
300410	Kekurny	1377	56.4	158.85
264140	Kelimutu	1639	-8.77	121.82
300041	Kell	900	51.65	157.35
305020	Keluo Group	670	49.37	125.92
263280	Kelut	1731	-7.93	112.308
263110	Kendang	2594	-7.245	107.709
234020	Kerguelen Islands	1840	-49.58	69.5
261170	Kerinci	3800	-1.697	101.264
290200	Ketoi	1172	47.35	152.475
303020	Khanuy Gol	1886	48.67	102.75
290300	Kharimkotan	1145	49.12	154.508
231060	"Khaybar, Harrat"	2093	25	39.92
300053	Khodutka	2039	52.062	157.711
360160	Kick 'em Jenny	-185	12.3	-61.64
282060	Kikai	704	30.793	130.305
300180	Kikhpinych	1506	54.489	160.251
332010	Kilauea	1222	19.421	-155.287
282090	Kirishimayama	1700	31.934	130.862
231071	"Kishb, Harrat"	1475	22.8	41.38
284061	Kita-Bayonnaise	-360	32.1	139.85
284110	Kita-Ioto	792	25.424	141.284
266120	Klabat	1968	1.454	125.031
300260	Klyuchevskoy	4754	56.056	160.642
290120	Kolokol Group	1328	46.042	150.083
221200	Kone	1380	8.788	39.701
221320	Korath Range	912	5.1	35.88
222054	Korosi	1446	0.77	36.12
311161	Korovin	1518	52.381	-174.166
300020	Koshelev	1822	51.356	156.753
300122	Kostakan	1150	53.83	158.05
225021	"Koussi, Emi"	3415	19.8	18.53
284030	Kozushima	572	34.219	139.153
373080	Krafla	800	65.715	-16.728
262000	Krakatau	155	-6.102	105.423
300190	Krasheninnikov	1816	54.596	160.27
252070	Krummel-Garbuna-Welcker	564	-5.416	150.027
371030	Krysuvik	360	63.883	-22.083
300050	Ksudach	1079	51.844	157.572
282050	Kuchinoerabujima	657	30.443	130.217
282043	Kuchinoshima	628	29.968	129.926
282120	Kujusan	1791	33.086	131.249
213000	Kula	750	38.58	28.52
304030	Kunlun Volcanic Group	5808	35.52	80.2
283210	Kurikomayama	1627	38.961	140.788
300023	Kurile Lake	81	51.45	157.12
